Date,Open,High,Low,Close,Volume,MarketCap
13-Mar-18,9173.04,9470.38,8958.19,9194.85,5991139840.00,155555594312.00
14-Mar-18,9214.65,9355.85,8068.59,8269.81,6438230016.00,139920843550.00
15-Mar-18,8290.76,8428.35,7783.05,8300.86,6834429952.00,140460819364.00
16-Mar-18,8322.91,8585.15,8005.31,8338.35,5289379840.00,141111773179.00
17-Mar-18,8321.91,8346.53,7812.82,7916.88,4426149888.00,133993486925.00
18-Mar-18,7890.52,8245.51,7397.99,8223.68,6639190016.00,139201713268.00
19-Mar-18,8344.12,8675.87,8182.40,8630.65,6729110016.00,146107514353.00
20-Mar-18,8619.67,9051.02,8389.89,8913.47,6361789952.00,150909503835.00
21-Mar-18,8937.48,9177.37,8846.33,8929.28,6043129856.00,151193917440.00
22-Mar-18,8939.44,9100.71,8564.90,8728.47,5530390016.00,147809220250.00
23-Mar-18,8736.25,8879.62,8360.62,8879.62,5954120192.00,150383574951.00
24-Mar-18,8901.95,8996.18,8665.70,8668.12,5664600064.00,146818882936.00
25-Mar-18,8612.81,8682.01,8449.10,8495.78,4569880064.00,143914265310.00
26-Mar-18,8498.47,8530.08,7921.43,8209.40,5921039872.00,139078211968.00
27-Mar-18,8200.00,8232.78,7797.28,7833.04,5378250240.00,132717053150.00
28-Mar-18,7836.83,8122.89,7809.17,7954.48,4935289856.00,134788265876.00
29-Mar-18,7979.07,7994.33,7081.38,7165.70,6361229824.00,121436043045.00
30-Mar-18,7171.45,7276.66,6683.93,6890.52,6289509888.00,116786562165.00
31-Mar-18,6892.48,7207.85,6863.52,6973.53,4553269760.00,118204645927.00
1-Apr-18,7003.06,7060.95,6526.87,6844.23,4532100096.00,116026809075.00
2-Apr-18,6844.86,7135.47,6816.58,7083.80,4333440000.00,120101932910.00
3-Apr-18,7102.26,7530.94,7072.49,7456.11,5499700224.00,126429245883.00
4-Apr-18,7456.41,7469.88,6803.88,6853.84,4936000000.00,116229557118.00
5-Apr-18,6848.65,6933.82,6644.80,6811.47,5639320064.00,115524404354.00
6-Apr-18,6815.96,6857.49,6575.00,6636.32,3766810112.00,112565173568.00
7-Apr-18,6630.51,7050.54,6630.51,6911.09,3976610048.00,117241368688.00
8-Apr-18,6919.98,7111.56,6919.98,7023.52,3652499968.00,119162880482.00
9-Apr-18,7044.32,7178.11,6661.99,6770.73,4894060032.00,114886335694.00
10-Apr-18,6795.44,6872.41,6704.15,6834.76,4272750080.00,115978358964.00
11-Apr-18,6843.47,6968.32,6817.59,6968.32,4641889792.00,118267198080.00
12-Apr-18,6955.38,7899.23,6806.51,7889.25,8906250240.00,133912618634.00
13-Apr-18,7901.09,8183.96,7758.93,7895.96,7764460032.00,134043001354.00
14-Apr-18,7874.67,8140.71,7846.00,7986.24,5191430144.00,135589384440.00
15-Apr-18,7999.33,8338.42,7999.33,8329.11,5244480000.00,141427138383.00
16-Apr-18,8337.57,8371.15,7925.73,8058.67,5631309824.00,136849408643.00
17-Apr-18,8071.66,8285.96,7881.72,7902.09,6900879872.00,134206623206.00
18-Apr-18,7944.43,8197.80,7886.01,8163.42,6529909760.00,138661092884.00
19-Apr-18,8159.27,8298.69,8138.78,8294.31,7063209984.00,140902801023.00
20-Apr-18,8286.88,8880.23,8244.54,8845.83,8438110208.00,150287113368.00
21-Apr-18,8848.79,8997.57,8652.15,8895.58,7548550144.00,151150137128.00
22-Apr-18,8925.06,9001.64,8779.61,8802.46,6629899776.00,149585589886.00
23-Apr-18,8794.39,8958.55,8788.81,8930.88,6925190144.00,151784994312.00
24-Apr-18,8934.34,9732.61,8927.83,9697.50,10678800384.00,164833256250.00
25-Apr-18,9701.03,9745.32,8799.84,8845.74,11083100160.00,150369282696.00
26-Apr-18,8867.32,9281.51,8727.09,9281.51,8970559488.00,157793327246.00
27-Apr-18,9290.63,9375.47,8987.05,8987.05,7566289920.00,152802874822.00
28-Apr-18,8939.27,9412.09,8931.99,9348.48,7805479936.00,158963068374.00
29-Apr-18,9346.41,9531.49,9193.71,9419.08,8853000192.00,160182287342.00
